Name,Address,Type,Website,Phone,Google Maps
3 Dogs Brewing,"107-15181 Thrift Ave., White Rock, Canada",Micro,https://3dogsbrewing.ca/,(604) 385-1364,http://www.google.com/maps/place/107-15181%20Thrift%20Ave.+White%20Rock+BC+Canada
33 Acres Brewing Company,"15 W 8th Ave, Vancouver, Canada",Brewpub,http://www.33acresbrewing.com/,(604) 620-4589,http://www.google.com/maps/place/15%20W%208th%20Ave+Vancouver+BC+Canada
4 Mile Brewing Co,"null, Victoria, Canada",Brewpub,N/A,N/A,http://www.google.com/maps/place/null+Victoria+BC+Canada
4 Origines Brewing Company,"1304 Rue St-Patrick, Montreal, Canada",Taproom,http://www.4origines.com/,01 (514) 242-8248,http://www.google.com/maps/place/1304%20Rue%20St-Patrick+Montreal+QC+Canada
4th Meridian Brewing Co,"2626 50 Ave, Lloyminster, Canada",Taproom,http://4thmeridianbrewing.com/,40 (346) 680-77,http://www.google.com/maps/place/2626%2050%20Ave+Lloyminster+AB+Canada
5 Paddles Brewing Company,"1390 Hopkins Street, Whitby, Canada",Micro,http://www.5paddlesbrewing.com/,(905) 665-3042,http://www.google.com/maps/place/1390%20Hopkins%20Street+Whitby+ON+Canada
9 Mile Legacy Brewing Co. Ltd.,"PO Box 903 Stn Main, Saskatoon, Canada",Micro,http://www.9milelegacy.com/,(306) 380-6814,http://www.google.com/maps/place/PO%20Box%20903%20Stn%20Main+Saskatoon+SK+Canada
A l`Abri de la Tempete,"286 Chemin Coulombe, L`Etang-du-Nord, Canada",Micro,http://www.alabridelatempete.com/,(418) 986-5005,http://www.google.com/maps/place/286%20Chemin%20Coulombe+L%60Etang-du-Nord+QC+Canada
AMBQ,N/A,N/A,N/A,N/A,N/A
Abandoned Rail Brew Co.,"1220 Davenport Ave, Penticton, Canada",Taproom,http://www.arbrewco.com/,(778) 476-7704,http://www.google.com/maps/place/1220%20Davenport%20Ave+Penticton+BC+Canada
Academy Brewing Company Inc.,"2601 Murray Street, Port Moody, Canada",Micro,http://www.academybrewing.com/,(604) 808-2217,http://www.google.com/maps/place/2601%20Murray%20Street+Port%20Moody+null+Canada
Adelaide Motors Brewing Co.,N/A,N/A,N/A,N/A,N/A
Ale Architect,"9918 76 Ave NW, Edmonton, Canada",Micro,http://alearchitect.com/,7807813278,http://www.google.com/maps/place/9918%2076%20Ave%20NW+Edmonton+AB+Canada
Alexander Keiths Brewery,"1496 Lower Water St, Halifax, Canada",Micro,http://www.keiths.ca/,(902) 455-1474,http://www.google.com/maps/place/1496%20Lower%20Water%20St+Halifax+null+Canada
All Or Nothing Brewhouse,"439 Ritson Road S., Oshawa, Canada",Taproom,http://www.allornothing.beer/,(905) 337-0133,http://www.google.com/maps/place/439%20Ritson%20Road%20S.+Oshawa+ON+Canada
Alley Kat Brewing Co,"9929 60 Ave NW, Edmonton, Canada",Taproom,http://www.alleykatbeer.com/,(780) 436-8922,http://www.google.com/maps/place/9929%2060%20Ave%20NW+Edmonton+AB+Canada
Amsterdam Brewing Co,"45 Esandar Dr, Toronto, Canada",Regional,http://www.amsterdambeer.com/,416-504-1040,http://www.google.com/maps/place/45%20Esandar%20Dr+Toronto+ON+Canada
Anderson Craft Ales,"1030 Elias Street, London, Canada",Brewpub,http://www.andersoncraftales.com/,01 (548) 888-2537,http://www.google.com/maps/place/1030%20Elias%20Street+London+null+Canada
Angry Hen Brewing Co.,"343 Front Street, Kaslo, Canada",Taproom,http://www.angryhenbrewing.com/,01 (604) 779-4470,http://www.google.com/maps/place/343%20Front%20Street+Kaslo+BC+Canada
Annex Ale Project,"4323 1st St S.E., Calgary, Canada",Brewpub,http://www.annexales.com/,(403) 475-4492,http://www.google.com/maps/place/4323%201st%20St%20S.E.+Calgary+AB+Canada
Another Beer Co.,"30 Capilano Way, New Westminster, Canada",Taproom,http://www.anotherbeerco.com/,N/A,http://www.google.com/maps/place/30%20Capilano%20Way+New%20Westminster+BC+Canada
Another Beer Company Inc.,"11 - 30 Capilano Way, New Westminster, Canada",Micro,N/A,604-515-9093,http://www.google.com/maps/place/11%20-%2030%20Capilano%20Way+New%20Westminster+BC+Canada
Apex Brewing,"PO Box 30104 Edson West RPO, EDSON, Canada",Micro,http://www.apexbrewing.ca/,(780) 517-7008,http://www.google.com/maps/place/PO%20Box%2030104%20Edson%20West%20RPO+EDSON+null+Canada
